epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
82,1094.11,0.03489,1,1,0.00108,0.000209552,0.000209552,0.000209552
83,1106.87,0.01781,1,1,0.00113,0.000208608,0.000208608,0.000208608
84,1119.57,0.03145,1,1,0.00117,0.000207665,0.000207665,0.000207665
85,1132.12,0.06478,1,1,0.00106,0.000206721,0.000206721,0.000206721
86,1144.9,0.02,1,1,0.00122,0.000205777,0.000205777,0.000205777
87,1157.43,0.02818,1,1,0.00103,0.000204833,0.000204833,0.000204833
88,1170.21,0.06522,1,1,0.001,0.000203889,0.000203889,0.000203889
89,1183.04,0.02134,1,1,0.00121,0.000202946,0.000202946,0.000202946
90,1195.88,0.02033,1,1,0.0011,0.000202002,0.000202002,0.000202002
91,1208.6,0.02973,1,1,0.00107,0.000201058,0.000201058,0.000201058
92,1221.36,0.03665,1,1,0.00098,0.000200114,0.000200114,0.000200114
93,1233.57,0.07152,1,1,0.0012,0.00019917,0.00019917,0.00019917
94,1245.52,0.04372,1,1,0.00109,0.000198227,0.000198227,0.000198227
95,1258.11,0.10446,1,1,0.0009,0.000197283,0.000197283,0.000197283
96,1271.53,0.00638,1,1,0.00083,0.000196339,0.000196339,0.000196339
97,1284.81,0.08075,1,1,0.00086,0.000195395,0.000195395,0.000195395
98,1297.97,0.03048,1,1,0.00095,0.000194451,0.000194451,0.000194451
99,1311.29,0.02352,1,1,0.001,0.000193508,0.000193508,0.000193508
100,1324.51,0.02284,1,1,0.00113,0.000192564,0.000192564,0.000192564
101,1337.68,0.03677,1,1,0.00109,0.00019162,0.00019162,0.00019162
102,1350.66,0.02634,1,1,0.00101,0.000190676,0.000190676,0.000190676
103,1363.59,0.03883,1,1,0.00096,0.000189732,0.000189732,0.000189732
104,1376.43,0.03991,1,1,0.00091,0.000188789,0.000188789,0.000188789
105,1389.23,0.03001,1,1,0.00096,0.000187845,0.000187845,0.000187845
106,1401.87,0.02746,1,1,0.00073,0.000186901,0.000186901,0.000186901
107,1414.59,0.04981,1,1,0.00089,0.000185957,0.000185957,0.000185957
108,1427.07,0.01703,1,1,0.00091,0.000185013,0.000185013,0.000185013
109,1439.72,0.06275,1,1,0.00083,0.00018407,0.00018407,0.00018407
